"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","SPRHOST (%)"
"25029","Leven","Foxton Bridge","184","2005","","Yes","Yes","No","40"
"25808","Burnt Hill","Moor House","0","1954","1961","Yes","No","No","53"
"25809","Bog Hill","Moor House","0","1954","1961","Yes","No","No","60"
"25810","Sike Hill","Moor House","0","1956","1962","Yes","No","No","55"
"26001","West Beck","Wansford Bridge","192","1953","1974","No","Yes","Yes","10"
"26002","Hull","Hempholme Lock","378","1962","","No","Yes","No","16"
"26003","Foston Beck","Foston Mill","57","1959","","Yes","Yes","Yes","10"
"26004","Gypsey Race","Bridlington","254","1971","1985","No","Yes","No","6.3"
"26005","Gypsey Race","Boynton","240","1981","","No","Yes","No","6"
"26006","Elmswell Beck","Little Driffield","136","1980","","No","Yes","No",""
"26007","Catchwater","Withernwick","16","1965","1990","No","Yes","No","41"
"26008","Mires Beck","North Cave","42","1986","","No","Yes","Yes","12"
"26009","West Beck","Snakeholme Lock","242","1988","","Yes","Yes","Yes","10"
"26010","Driffield Canal","Snakeholme Lock","25","1988","2016","Yes","Yes","No","13"
"26011","Market Weighton Canal","Wholsea Grange","43","1989","","No","Yes","Yes","24"
"26012","Foulness","Holme House Farm","70","1990","","No","Yes","Yes","31"
"26013","Driffield Trout Stream","Driffield","53","2010","","Yes","Yes","No","18"
"26014","Water Forlornes","Driffield","32","1997","","Yes","Yes","No","6.5"
"26016","Gypsey Race","Kirby Grindalythe","16","1998","","Yes","Yes","No","5.7"
"27001","Nidd","Hunsingore Weir","484","1934","","Yes","Yes","Yes","40"
"27002","Wharfe","Wetherby Flint Mill","759","1936","","Yes","Yes","No","43"
"27003","Aire","Beal","1932","1962","","Yes","Yes","Yes","33"
"27004","Calder","Newlands","899","1960","1976","Yes","Yes","No","30"
"27005","Nidd","Gouthwaite Reservoir","114","1937","","No","Yes","No","50"
"27006","Don","Sheffield Hadfields","373","1965","","Yes","Yes","No","38"
