"Station number","River","Location","Minimum altitude","10 percentile altitude","50 percentile altitude","90 percentile altitude","Maximum altitude"
"38002","Ash","Mardock","37","69","93","120","140"
"38003","Mimram","Panshanger Park","48","82","120","150","190"
"38004","Rib","Wadesmill","47","82","110","140","170"
"38005","Ash","Easneye","33","64","91","120","140"
"38006","Rib","Herts Training School","40","78","110","140","170"
"38007","Canons Brook","Elizabeth Way","39","59","73","98","110"
"38011","Mimram","Fulling Mill","66","99","130","160","190"
"38012","Stevenage Brook","Bragbury Park","66","86","100","130","140"
"38013","Upper Lee","Luton Hoo","97","120","130","160","230"
"38014","Salmon Brook","Edmonton","16","29","63","94","130"
"38015","Intercepting Drain","Enfield","13","17","22","40","69"
"38016","Stansted Springs","Mountfitchet","","","","",""
"38017","Mimram","Whitwell","86","110","140","160","190"
"38018","Upper Lee","Water Hall","44","75","120","150","230"
"38019","Salmon Brook","Montague Road","13","20","59","92","130"
"38020","Cobbins Brook","Sewardstone Road","19","35","74","100","120"
"38021","Turkey Brook","Albany Park","19","41","78","120","130"
"38022","Pymmes Brook","Edmonton Silver Street","13","28","66","95","140"
"38023","Lee flood relief","Low Hall","6.3","47","92","130","230"
"38024","Small River Lee","Ordnance Road","15","20","43","91","120"
"38025","Pymmes Brook","Alcazar","13","28","66","95","140"
"38026","Pincey Brook","Sheering Hall","45","67","81","100","110"
"38027","Stort","Glen Faba","26","57","82","110","140"
"38028","Stansted Brook","Gypsy Lane","62","82","97","110","120"
"38029","Quin","Griggs Bridge","68","97","120","140","160"
"38030","Beane","Hartham","38","73","110","130","150"
"38031","Lee","Rye Bridge","26","68","110","140","230"
"38032","Lee","Lea Bridge","4.8","37","89","130","230"
"38033","Upper Lee","Luton East Hyde","96","120","130","160","230"
"39001","Thames","Kingston","3.4","50","100","180","330"
"39002","Thames","Days Weir","43","67","110","200","330"
"39003","Wandle","South Wimbledon","12","36","140","190","270"
"39004","Wandle","Beddington Park","32","79","150","200","270"
"39005","Beverley Brook","Wimbledon Common","8.8","16","32","88","170"
"39006","Windrush","Newbridge","64","99","180","250","320"
"39007","Blackwater","Swallowfield","43","60","80","130","220"
"39008","Thames","Eynsham","60","76","120","220","330"
"39009","Thames","Bray Weir","21","62","110","190","330"
"39010","Colne","Denham","33","74","120","170","270"
"39011","Wey","Tilford","49","77","130","190","280"
"39012","Hogsmill","Kingston upon Thames","6.9","23","55","150","190"
"39013","Colne","Berrygrove","54","76","110","160","240"
"39014","Ver","Hansteads","62","93","130","180","240"
"39015","Whitewater","Lodge Farm","73","93","120","180","220"
"39016","Kennet","Theale","45","91","150","210","300"
"39017","Ray","Grendon Underwood","66","72","85","120","190"
"39018","Ock","Abingdon","50","61","80","120","260"
"39019","Lambourn","Shaw","72","120","170","210","260"
"39020","Coln","Bibury","99","140","190","260","330"
"39021","Cherwell","Enslow Mill","64","95","130","170","240"
"39022","Loddon","Sheepbridge","43","58","86","140","230"
"39023","Wye","Hedsor","25","88","150","210","250"
"39024","Gatwick Stream","Gatwick","58","70","100","140","170"
"39025","Enborne","Brimpton","61","84","110","160","300"
"39026","Cherwell","Banbury","90","110","140","170","220"
"39027","Pang","Pangbourne","40","72","120","170","240"
"39028","Dun","Hungerford","100","130","160","190","280"
"39029","Tilling Bourne","Shalford","33","68","130","210","290"
"39030","Gade","Croxley Green","49","85","140","180","250"
"39031","Lambourn","Welford","95","140","180","210","260"
"39032","Lambourn","East Shefford","100","140","180","210","260"
"39033","Winterbourne Stream","Bagnor","80","110","150","190","230"
"39034","Evenlode","Cassington Mill","60","100","140","200","270"
"39035","Churn","Cerney Wick","84","110","190","260","300"
"39036","Law Brook","Albury","58","88","130","210","260"
"39037","Kennet","Marlborough","120","160","180","220","290"
"39038","Thame","Shabbington","59","73","90","140","270"
"39039","Wye","High Wycombe","76","110","160","220","250"
"39040","Thames","West Mill Cricklade","79","90","110","160","220"
"39042","Leach","Priory Mill Lechlade","71","92","140","190","250"
"39043","Kennet","Knighton","110","150","180","230","290"
"39044","Hart","Bramshill House","51","64","81","120","190"
"39046","Thames","Sutton Courtenay","46","68","110","200","330"
