"Station number","River","Location","Catchment area","SAAR 1961-1990 (mm)","SAAR 1941-1970 (mm)"
"77001","Esk","Netherby","842","1400","1400"
"77002","Esk","Canonbie","495","1400","1500"
"77003","Liddel Water","Rowanburnfoot","319","1300","1400"
"77004","Kirtle Water","Mossknowe","72","1200","1200"
"77005","Lyne","Cliff Bridge","191","1100","1100"
"78001","Annan","St Mungos Manse","730","1400","1500"
"78003","Annan","Brydekirk","925","1400","1400"
"78004","Kinnel Water","Redhall","76","1500","1600"
"78005","Kinnel Water","Bridgemuir","229","1400","1600"
"78006","Annan","Woodfoot","217","1600","1600"
"79001","Afton Water","Afton Reservoir","9","2200","2200"
"79002","Nith","Friars Carse","799","1500","1500"
"79003","Nith","Hall Bridge","155","1500","1600"
"79004","Scar Water","Capenoch","142","1600","1700"
"79005","Cluden Water","Fiddlers Ford","238","1400","1500"
"79006","Nith","Drumlanrig","471","1500","1600"
"79007","Lochar Water","Kirkblain Bridge","125","1100","1100"
"80001","Urr","Dalbeattie","199","1300","1400"
"80002","Dee","Glenlochar","809","1800","1700"
"80003","White Laggan Burn","Loch Dee","6","2500","2100"
"80004","Green Burn","Loch Dee","3","2400","2200"
"80005","Dargall Lane","Loch Dee","2","2400","2200"
"80006","Blackwater","Loch Dee","16","2400","2200"
"81001","Penwhirn Burn","Penwhirn Reservoir","18","1600","1500"
"81002","Cree","Newton Stewart","368","1800","1700"
"81003","Luce","Airyhemming","171","1500","1400"
"81004","Bladnoch","Low Malzie","334","1300","1300"
"81005","Piltanton Burn","Barsolus","34","1200","1100"
"81006","Water of Minnoch","Minnoch Bridge","141","2000","2000"
"81007","Water of Fleet","Rusko","77","1800","1800"
"82001","Girvan","Robstone","246","1400","1300"
"82002","Doon","Auchendrane","324","1600","1500"
"82003","Stinchar","Balnowlart","341","1500","1500"
"83002","Garnock","Dalry","89","1700","1700"
"83003","Ayr","Catrine","166","1300","1300"
"83004","Lugar Water","Langholm","181","1300","1300"
"83005","Irvine","Shewalton","381","1200","1200"
"83006","Ayr","Mainholm","574","1200","1200"
"83007","Lugton Water","Eglinton Castle","55","1300","1300"
"83008","Annick Water","Dreghorn","91","1300","1300"
"83009","Garnock","Kilwinning","184","1600","1500"
"83010","Irvine","Newmilns","73","1300","1400"
"83011","Ayr","Wellwood","60","1400","1400"
"83012","Gass Water","Welltrees","14","1300","1400"
"83013","Irvine","Glenfield","218","1200","1200"
"84001","Kelvin","Killermont","335","1300","1300"
"84002","Calder","Muirshiel","12","2300","2200"
"84003","Clyde","Hazelbank","1093","1200","1200"
"84004","Clyde","Sills of Clyde","742","1200","1200"
"84005","Clyde","Blairston","1704","1100","1200"
"84006","Kelvin","Bridgend","64","1300","1400"
"84007","South Calder Water","Forgewood","93","930","910"
"84008","Rotten Calder Water","Redlees","51","1200","1200"
"84009","Nethan","Kirkmuirhill","66","1200","1200"
"84011","Gryfe","Craigend","86","1800","1700"
"84012","White Cart Water","Hawkhead","235","1300","1300"
"84013","Clyde","Daldowie","1903","1100","1100"
"84014","Avon Water","Fairholm","266","1300","1300"
"84015","Kelvin","Dryfield","235","1300","1300"
"84016","Luggie Water","Condorrat","34","1100","1100"
"84017","Black Cart Water","Milliken Park","103","1800","1800"
"84018","Clyde","Tulliford Mill","933","1200","1200"
"84019","North Calder Water","Calderpark","130","970","930"
"84020","Glazert Water","Milton of Campsie","52","1600","1600"
"84022","Duneaton","Maidencots","110","1300","1300"
"84023","Bothlin Burn","Auchengeich","36","1000","1000"
"84024","North Calder Water","Hillend","20","1100","1000"
"84025","Luggie Water","Oxgang","88","1100","1000"
"84026","Allander Water","Milngavie","33","1400","1400"
"84027","North Calder Water","Calderbank","61","1000","970"
"84029","Cander Water","Candermill","25","1000","1100"
"84030","White Cart Water","Overlee","106","1400","1300"
"84031","Watstone Burn","Watstone","5","1000","1100"
"84032","Bagabout Burn","Giffnock","5","1100","1100"
"84033","White Cart Water","MacQuisten Bridge","120","1300","1300"
"84034","Auldhouse Burn","Spiers Bridge","17","1300","1300"
"84035","Kittoch Water","Waterside","17","1200","1100"
"84036","Earn Water","Letham","20","1500","1500"
"84037","Douglas Water","Happendon","97","1200","1300"
"85001","Leven","Linnbrane","784","2000","2000"
"85002","Endrick Water","Gaidrew","220","1500","1400"
"85003","Falloch","Glen Falloch","80","2800","2800"
"85004","Luss Water","Luss","35","2300","2400"
"86001","Little Eachaig","Dalinlongart","31","2300","2400"
"86002","Eachaig","Eckford","140","2500","2600"
"88001","Carradale","Dippen","59","1800","1700"
"89002","Linne nam Beathach","Victoria Bridge","51","3000","2900"
"89003","Orchy","Glen Orchy","251","2700","2600"
"89004","Strae","Glen Strae","36","2800","2900"
"89005","Lochy","Inverlochy","48","2900","2700"
"89006","Avich","Barnaline Lodge","32","2300","2200"
"89007","Abhainn a' Bhealaich","Braevallich","24","2500","2500"
"89008","Eas Daimh","Eas Daimh","5","3100","2700"
"89009","Eas a' Ghaill","Succoth","10","3000","2500"
"90003","Nevis","Claggan","69","2900","2700"
"91002","Lochy","Camisky","1252","2200","2200"
"91802","Allt Leachdach","Intake","7","2600","2400"
"92001","Shiel","Shielfoot","256","2800","2700"
"92002","Allt Coire nan Con","Polloch","8","2500","2600"
"92003","Strontian","Ariundle","25","2700","2700"
"92004","Aline","Craigendarroch","104","2300","2300"
"93001","Carron","New Kelso","138","2600","2500"
"93002","Ling","Killilan","133","2600","2700"
