"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","Factors affecting runoff"
"39128","Bourne (South)","Addlestone","90","1991","","No","Yes","Yes","E"
"39129","Thames","Farmoor","1609","1992","","No","Yes","Yes","P"
"39130","Thames","Reading","4634","1992","","No","Yes","Yes","PG"
"39131","Brent","Costons Lane Greenford","146","1989","","No","Yes","Yes","SGI"
"39134","Ravensbourne","Bromley South","10","1993","","Yes","Yes","No","N"
"39135","Quaggy","Chinbrook Meadows","15","1962","","No","Yes","No","N"
"39137","Yeading West","Gutteridge Wood","21","1994","","No","Yes","Yes",""
"39138","Loddon","Twyford","752","1994","","No","Yes","No","E"
"39140","Ray","Islip","290","1994","","No","Yes","Yes",""
"39141","Wey","Guildford","690","1995","","No","Yes","No","PG"
"39142","Windrush","Bourton on the Water","66","1994","","No","Yes","No","G"
"39143","Dikler","Bourton on the Water","91","1994","","No","Yes","No","G"
"39144","Sor","Bodicote","88","1994","","No","Yes","Yes","P"
"39145","Yeading Brook East","Western Avenue A40","10","1993","","No","Yes","Yes","N"
"39146","Mill Brook","Blewbury","2","1995","","No","Yes","No","N"
"39147","Wendover Springs","Wendover","10","1841","","No","Yes","No","N"
"39148","Thames","Maidenhead","6910","","","No","Yes","No","PG"
"39866","Jubilee River","Taplow","","2003","","No","Yes","No",""
"40001","Medway","Weir Wood Reservoir","27","1952","1969","No","Yes","No","S"
"40002","Darwell","Darwell Reservoir","10","1956","1975","No","Yes","No","S"
"40003","Medway","Teston / East Farleigh","1256","1956","","Yes","Yes","Yes","SRPG"
"40004","Rother","Udiam","206","1962","","Yes","Yes","Yes","SGE"
"40005","Beult","Stilebridge","277","1958","","Yes","Yes","Yes","EI"
"40006","Bourne","Hadlow","50","1959","","No","Yes","Yes","E"
"40007","Medway","Chafford / Colliers Land Bridge","255","1960","","Yes","Yes","No","SE"
"40008","Great Stour","Wye","230","1962","","Yes","Yes","Yes","GE"
"40009","Teise","Stonebridge","136","1961","","Yes","Yes","Yes","RPGE"
"40010","Eden","Penshurst / Vexour Bridge","224","1961","","Yes","Yes","Yes","SE"
"40011","Great Stour","Horton","345","1964","","Yes","Yes","Yes","GE"
"40012","Darent","Hawley","191","1963","","Yes","Yes","Yes","G"
"40013","Darent","Otford","101","1969","","Yes","Yes","No","G"
"40014","Wingham","Durlock","38","1969","2007","No","Yes","No","E"
"40015","White Drain","Fairbrook Farm","32","1969","2009","No","Yes","No","E"
"40016","Cray","Crayford","120","1969","","Yes","Yes","Yes","G"
"40017","Dudwell","Burwash","28","1969","","Yes","Yes","Yes","N"
"40018","Darent","Lullingstone","118","1968","","Yes","Yes","Yes","G"
"40020","Eridge Stream","Hendal Bridge","54","1973","","No","Yes","Yes","E"
"40021","Hexden Channel","Hopemill Bridge Sandhurst","32","1973","","No","Yes","No","E"
"40022","Great Stour","Chart Leacon","73","1967","","Yes","Yes","No",""
"40023","East Stour","South Willesborough","59","1979","","No","Yes","Yes","E"
"40024","Bartley Mill St","Bartley Mill","25","1958","","No","Yes","No","E"
"40025","Brede","Brede Pumping Station","46","1980","","No","Yes","Yes",""
"40027","Sarre Penn","Calcott","19","1975","","No","Yes","No","N"
"40029","Len","Lenside","70","1975","","No","Yes","No","E"
"40033","Dour","Crabble Mill","50","1976","","Yes","Yes","Yes","G"
"41001","Nunningham Stream","Tilley Bridge","17","1950","","No","Yes","No","R"
"41002","Ash Bourne","Hammer Wood Bridge","18","1951","","No","Yes","No","RG"
"41003","Cuckmere","Sherman Bridge","135","1959","","No","Yes","Yes","SP"
"41004","Ouse","Barcombe Mills","396","1956","","No","Yes","No","SRPGE"
"41005","Ouse","Gold Bridge","181","1960","","Yes","Yes","Yes","SRPGE"
"41006","Uck","Isfield","88","1964","","Yes","Yes","No","E"
"41009","Rother","Hardham","346","1959","","No","Yes","Yes","PG"
"41010","Adur W Branch","Hatterell Bridge","109","1961","2005","No","Yes","No","N"
"41011","Rother","Iping Mill","154","1967","","Yes","Yes","Yes","GE"
"41012","Adur E Branch","Sakeham","93","1967","","Yes","Yes","Yes","E"
"41013","Huggletts Stream","Henley Bridge","14","1950","","No","Yes","No","RG"
"41014","Arun","Pallingham","379","1970","","Yes","Yes","Yes","E"
"41015","Ems","Westbourne","58","1967","","Yes","Yes","Yes","RG"
"41016","Cuckmere","Cowbeech","19","1939","","Yes","Yes","Yes","PG"
"41017","Combe Haven","Crowhurst","31","1969","2004","No","Yes","No","G"
"41018","Kird","Tanyards","67","1969","2001","Yes","Yes","No","N"
"41019","Arun","Alfoldean","139","1970","","No","Yes","Yes","E"
"41020","Bevern Stream","Clappers Bridge","35","1969","","Yes","Yes","Yes","E"
"41021","Clayhill Stream","Old Ship","7","1969","","No","Yes","No","N"
"41022","Lod","Halfway Bridge","52","1970","","Yes","Yes","Yes","N"
"41023","Lavant","Graylingwell","87","1970","","Yes","Yes","No","G"
"41024","Shell Brook","Shell Brook","23","1971","","No","Yes","No","SRP"
"41025","Loxwood Stream","Drungewick","92","1972","","No","Yes","Yes","N"
"41026","Cockhaise Brook","Holywell","36","1972","","No","Yes","No","PG"
"41027","Rother","Princes Marsh","37","1972","","No","Yes","Yes","GE"
"41028","Chess Stream","Chess Bridge","24","1964","","No","Yes","No","N"
"41029","Bull","Lealands","41","1978","","No","Yes","Yes","N"
"41030","Ouse","Ardingly","37","1979","","No","Yes","Yes","P"
"41031","Fulking Stream","Fulking","1","1968","","No","Yes","No","G"
"41033","Costers Brook","Cocking","3","1973","","No","Yes","No","G"
"41034","Ems","Walderton","42","1966","1984","No","Yes","No",""
"41035","North","Brookhurst","54","1983","2015","No","Yes","No","N"
"41037","Winterbourne Stream","Lewes","17","1966","","No","Yes","No","G"
"42001","Wallington","North Fareham","111","1951","","Yes","Yes","Yes","G"
"42003","Lymington","Brockenhurst","99","1960","","Yes","Yes","Yes","N"
"42004","Test","Broadlands","1040","1957","","No","Yes","No","N"
"42005","Wallop Brook","Broughton","54","1955","2012","Yes","Yes","No","G"
"42006","Meon","Mislingford","73","1958","","Yes","Yes","Yes","G"
"42007","Alre","Drove Lane Alresford","57","1970","","Yes","Yes","No","RG"
"42008","Cheriton Stream","Sewards Bridge","75","1970","","Yes","Yes","No","N"
"42009","Candover Stream","Borough Bridge","71","1970","","Yes","Yes","Yes","RG"
"42010","Itchen","Highbridge & Allbrook Total","360","1958","","Yes","Yes","No","RPG"
"42011","Hamble","Frogmill","57","1972","","Yes","Yes","Yes","G"
