"Station.number";"Catchment.area";"Station.level";"Factors.affecting.runoff";"Mean.GDF";"Maximum.GDF";"Q95";"Q70";"Q50";"Q10";"Base.flow.index";"QMED";"Start.of.peak.flow.record";"End.of.peak.flow.record";"Minimum.altitude";"X50.percentile.altitude";"X90.percentile.altitude";"Maximum.altitude";"SAAR.1961.1990..mm.";"SAAR.1941.1970..mm.";"ALTBAR..m.";"ASPBAR..Â..";"ASPVAR..Â..";"BFIHOST....";"CENTROID.easting..m.";"CENTROID.northing..m.";"DPLBAR..km.";"DPSBAR..m.km.";"FARL";"FPDBAR..m.";"FPEXT";"FPLOC..m.";"IH.DTM.area..kmÂ².";"IH.DTM.height..m.";"LDP..km.";"PROPWET";"SPRHOST....";"URBCON1990";"URBCON2000";"URBEXT1990";"URBEXT2000";"URBLOC1990";"URBLOC2000";"N_couple";"Distance"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"3846";"49.09262365"
"8007";"400";"240";"14";"6.1";"200";"1.7";"3";"3.8";"10";"0.51";"100";"1952";;"230";"480";"790";"1000";"1400";"1400";"520";"310";"0.03";"0.41";;;"22";"180";"0.94";"0.81";"0.054";"0.81";"400";"230";"41";"0.75";"51";;;"1e-04";"0";;;"3846";"49.09262365"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"3848";"71.56679169"
"8009";"270";"220";"17";"6.1";"160";"1.1";"2.4";"3.7";"13";"0.44";"88";"1952";;"220";"450";"670";"880";"1000";"1100";"460";"94";"0.19";"0.5";;;"21";"120";"0.99";"0.58";"0.051";"0.68";"270";"220";"44";"0.68";"47";;;"2e-04";"6e-04";;;"3848";"71.56679169"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"3849";"74.19406481"
"8010";"1700";"190";"14";"38";"480";"11";"20";"29";"75";"0.58";"240";"1951";;"190";"460";"780";"1300";"1200";"1200";"500";"13";"0.05";"0.48";;;"51";"160";"0.94";"0.96";"0.061";"0.83";"1700";"190";"100";"0.69";"46";;;"5e-04";"0.0012";;;"3849";"74.19406481"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"3853";"90.6019548"
"84001";"340";"27";"2";"8.7";"180";"1.6";"3.2";"5.1";"20";"0.42";"81";"1946";;"27";"90";"330";"580";"1300";"1300";"140";"170";"0.12";"0.41";;;"21";"78";"0.95";"1.3";"0.11";"0.86";"340";"27";"38";"0.58";"41";"0.78";"0.85";"0.06";"0.066";"0.82";"0.89";"3853";"90.6019548"
"15008";"180";"45";"3";"2.6";"35";"0.59";"1.1";"1.7";"5.7";"0.59";"27";"1953";;"46";"130";"250";"450";"840";"880";"140";"15";"0.12";"0.62";;;"14";"59";"0.97";"1";"0.13";"0.83";"180";"46";"26";"0.38";"37";"0.75";"0.82";"0.011";"0.015";"1.1";"1.1";"4119";"590.4244653"
"37003";"78";"15";"28";"0.29";"9.7";"0.034";"0.087";"0.13";"0.59";"0.48";"5.6";"1963";;"15";"61";"77";"93";"570";"590";"59";"150";"0.21";"0.46";;;"14";"19";"0.99";"0.61";"0.12";"1.1";"78";"15";"29";"0.31";"42";"0.43";"0.75";"0.0074";"0.012";"0.85";"0.99";"4119";"590.4244653"
"16001";"590";"15";"27";"23";"310";"3.1";"9.1";"15";"50";"0.51";"200";"1948";;"19";"300";"600";"980";"1500";"1500";"320";"140";"0.11";"0.49";;;"31";"180";"0.89";"0.73";"0.056";"0.72";"580";"19";"56";"0.63";"41";;;"0.0017";"0.0025";;;"5336";"102.5890755"
"8005";"1300";"200";"14";"30";"350";"8.6";"16";"22";"57";"0.59";"170";"1951";;"200";"500";"810";"1300";"1300";"1300";"520";"350";"0.04";"0.47";;;"47";"170";"0.92";"0.97";"0.059";"0.84";"1300";"200";"88";"0.7";"48";;;"5e-04";"0.0011";;;"5336";"102.5890755"
"19004";"82";"130";"45";"1.6";"28";"0.36";"0.71";"1.1";"3.4";"0.54";"19";"1961";;"130";"280";"430";"580";"950";"970";"300";"91";"0.26";"0.56";;;"11";"110";"0.97";"0.28";"0.032";"0.95";"80";"130";"21";"0.49";"37";"0.64";"0.81";"0.018";"0.018";"0.35";"0.32";"7900";"13.75618364"
"19007";"330";"3.3";"55";"4.5";"110";"1";"1.9";"2.8";"9.3";"0.53";"73";"1961";;"4.2";"250";"400";"650";"840";"850";"240";"27";"0.23";"0.57";;;"25";"95";"0.94";"0.38";"0.043";"0.84";"320";"4.3";"44";"0.49";"34";"0.74";"0.82";"0.024";"0.033";"0.63";"0.58";"7900";"13.75618364"
"19004";"82";"130";"45";"1.6";"28";"0.36";"0.71";"1.1";"3.4";"0.54";"19";"1961";;"130";"280";"430";"580";"950";"970";"300";"91";"0.26";"0.56";;;"11";"110";"0.97";"0.28";"0.032";"0.95";"80";"130";"21";"0.49";"37";"0.64";"0.81";"0.018";"0.018";"0.35";"0.32";"7902";"9.992547379"
"19011";"140";"29";"13";"2.3";"65";"0.58";"1";"1.5";"4.7";"0.53";"37";"1962";;"32";"270";"420";"580";"910";"920";"270";"83";"0.25";"0.55";;;"23";"120";"0.96";"0.33";"0.033";"0.88";"130";"32";"37";"0.49";"37";"0.67";"0.79";"0.021";"0.026";"0.63";"0.57";"7902";"9.992547379"
"19004";"82";"130";"45";"1.6";"28";"0.36";"0.71";"1.1";"3.4";"0.54";"19";"1961";;"130";"280";"430";"580";"950";"970";"300";"91";"0.26";"0.56";;;"11";"110";"0.97";"0.28";"0.032";"0.95";"80";"130";"21";"0.49";"37";"0.64";"0.81";"0.018";"0.018";"0.35";"0.32";"7945";"293.6827723"
"27006";"370";"30";"58";"5.1";"190";"1.2";"2";"2.8";"11";"0.49";"86";"1956";;"32";"260";"410";"540";"1000";"1000";"260";"73";"0.28";"0.42";;;"24";"110";"0.88";"0.36";"0.03";"0.74";"360";"32";"51";"0.37";"38";"0.79";"0.9";"0.11";"0.13";"0.45";"0.47";"7945";"293.6827723"
"19007";"330";"3.3";"55";"4.5";"110";"1";"1.9";"2.8";"9.3";"0.53";"73";"1961";;"4.2";"250";"400";"650";"840";"850";"240";"27";"0.23";"0.57";;;"25";"95";"0.94";"0.38";"0.043";"0.84";"320";"4.3";"44";"0.49";"34";"0.74";"0.82";"0.024";"0.033";"0.63";"0.58";"9087";"4.790140595"
"19011";"140";"29";"13";"2.3";"65";"0.58";"1";"1.5";"4.7";"0.53";"37";"1962";;"32";"270";"420";"580";"910";"920";"270";"83";"0.25";"0.55";;;"23";"120";"0.96";"0.33";"0.033";"0.88";"130";"32";"37";"0.49";"37";"0.67";"0.79";"0.021";"0.026";"0.63";"0.57";"9087";"4.790140595"
"19007";"330";"3.3";"55";"4.5";"110";"1";"1.9";"2.8";"9.3";"0.53";"73";"1961";;"4.2";"250";"400";"650";"840";"850";"240";"27";"0.23";"0.57";;;"25";"95";"0.94";"0.38";"0.043";"0.84";"320";"4.3";"44";"0.49";"34";"0.74";"0.82";"0.024";"0.033";"0.63";"0.58";"9525";"66.47930976"
