"Station_1";"Station_2";"Media";"Max";"Min";"lag0";"lag1";"lag2";"lag3";"lag4";"lag5";"lag5_10";"lag10"
10002;39008;64;293;6;0;0;0;0;0;0;15;1
10002;39015;27;278;4;0;0;0;0;1;0;12;0
10002;39016;51,5;295;4;0;0;0;0;1;0;13;0
10002;39022;57;296;7;0;0;0;0;0;0;13;0
10002;39023;119;158;3;0;0;0;1;1;0;13;0
10002;39033;194;272;7;0;0;0;0;0;0;15;0
10002;39037;211;334;10;0;0;0;0;0;0;15;1
10002;39040;69;306;6;0;0;0;0;0;0;15;1
10002;40011;88;296;4;0;0;0;0;1;0;13;0
10002;40022;56;285;4;0;0;0;0;1;0;14;0
10002;42006;193;334;3;0;0;0;1;1;0;13;0
10002;42007;205;322;7;0;0;0;0;0;0;17;0
10002;42009;227;333;8;0;0;0;0;0;0;16;0
10002;42010;87,5;314;7;0;0;0;0;0;0;14;0
10002;45003;25;282;1;0;3;0;0;2;0;10;0
10002;45005;30;314;1;0;1;0;1;0;0;13;0
10002;47009;80;296;7;0;0;0;0;0;0;14;0
10002;52003;40;295;1;0;2;0;0;0;0;12;0
10002;52004;30;284;3;0;0;0;1;0;0;12;0
10002;52005;30;295;0;1;2;0;0;0;0;12;0
10002;52011;40;294;0;1;1;0;0;0;0;12;0
10002;53005;31;296;3;0;0;0;1;0;0;12;0
10002;53008;57,5;306;3;0;0;0;1;0;0;13;0
10002;53009;31;293;0;1;0;0;1;0;0;11;0
10002;53020;60;296;3;0;0;0;1;0;0;12;0
10002;54017;55;296;1;0;2;0;0;0;0;12;0
10002;54024;52;254;0;1;1;0;0;0;0;12;0
10002;54027;94,5;294;6;0;0;0;0;0;0;14;0
10002;54034;32;300;2;0;0;1;0;0;0;12;0
10002;55002;74;302;16;0;0;0;0;0;0;14;0
10002;55018;36;266;1;0;1;0;0;0;0;11;0
10002;69012;159,5;364;1;0;1;0;0;0;0;13;0
10002;69013;121,5;308;1;0;1;0;0;0;0;13;0
10002;7003;12;343;0;3;1;0;0;0;0;10;0
10002;71011;51;363;5;0;0;0;0;0;1;12;0
10002;72002;72,5;336;12;0;0;0;0;0;0;12;0
10002;72011;56,5;332;3;0;0;0;1;0;0;11;0
10002;73011;58;363;6;0;0;0;0;0;0;13;0
10002;74001;237;363;5;0;0;0;0;0;1;14;0
10002;76010;58;363;1;0;1;0;0;0;0;14;0
11001;11002;0;264;0;8;5;0;0;0;0;1;0
11001;12001;12,5;297;0;4;3;0;0;0;0;9;0
11001;14001;105;303;1;0;2;1;0;0;0;12;0
11001;15003;29;321;0;1;0;0;0;0;0;13;0
