"CODE";"KendalT.value";"KendalT.p.value";"N_ties.Station1";"N_ties.Station2";"Number_data";"R_Ties_sum";"ID_Station_1";"ID_Station_2";"Num_Syncr_occ";"Num_Asyncr_occ";"KT_.Asyncrony";"KT_pvalue_Asy";"KT_.Syncrony";"KT_pvalue_Sy";"Easting_1";"Northing_1";"Easting_2";"Northing_2";"Distance";"Area_1";"Area_2"
889;"-0.08";"0.594786233602077";"3";"1";25;"0";"12001";"27010";"6";"19";"0.0409356725146199";"0.836030932112043";;;"363482";"795613";"462700";"494400";"317246.843582373";"1370";"18.9"
890;"0.0638792102206736";"0.560645509258802";"4";"2";42;"0";"12001";"27021";"5";"37";"0.0870870870870871";"0.458660295702155";;;"363482";"795613";"456977";"403973";"402790.299720697";"1370";"1256.2"
891;"-0.267692307692308";"0.0574465548885856";"1";"0";26;"0";"12001";"27023";"3";"23";"-0.217391304347826";"0.155373925016479";;;"363482";"795613";"434970";"407279";"395003.44858525";"1370";"118.9"
893;"0.0355731225296443";"0.834573032985762";"1";"0";23;"0";"12001";"27025";"3";"20";"0";"1";;;"363482";"795613";"443213";"385749";"417698.941341856";"1370";"352.2"
894;"-0.1";"0.502167931328572";"1";"0";25;"0";"12001";"27026";"3";"22";"-0.0909090909090909";"0.577009076388377";;;"363482";"795613";"439339";"374468";"428078.170590765";"1370";"165"
896;"-0.221052631578947";"0.185883042887091";"0";"1";20;"0";"12001";"27030";"2";"18";"-0.163398692810458";"0.368580540875301";;;"363482";"795613";"447677";"402022";"402641.582345114";"1370";"310.8"
907;"-0.0761904761904762";"0.654498892178173";"1";"0";21;"0";"12001";"28003";"1";"20";"-0.115789473684211";"0.500609627166415";;;"363482";"795613";"416940";"291460";"507165.015301006";"1370";"408"
910;"-0.168831168831169";"0.287616758255245";"0";"1";22;"0";"12001";"28006";"4";"18";"-0.189542483660131";"0.293450858549159";;;"363482";"795613";"399360";"323090";"474056.015817522";"1370";"325"
911;"-0.249230769230769";"0.0776919181677963";"1";"1";26;"0";"12001";"28008";"4";"22";"-0.203463203463203";"0.197015209444928";;;"363482";"795613";"411240";"339670";"458605.23435989";"1370";"399"
912;"0.0652173913043478";"0.676526115617909";"0";"0";24;"0";"12001";"28009";"3";"21";"0.0761904761904762";"0.654498892178173";;;"363482";"795613";"462010";"339960";"466351.041330656";"1370";"7486"
913;"0.0412698412698413";"0.735312779779268";"4";"6";36;"0";"12001";"28010";"5";"31";"0.0623655913978495";"0.636880702635544";;;"363482";"795613";"435600";"336300";"465110.008480881";"1370";"1054"
915;"-0.219047619047619";"0.176325111069502";"1";"2";21;"0";"12001";"28012";"2";"19";"-0.263157894736842";"0.124796907586197";;;"363482";"795613";"413210";"317720";"480649.258375108";"1370";"1229"
918;"-0.0571428571428571";"0.742874104271325";"1";"0";21;"0";"12001";"28019";"2";"19";"-0.111111111111111";"0.533973700388801";;;"363482";"795613";"423910";"320390";"479224.949830535";"1370";"3072"
930;"0.0881720430107527";"0.499778960258587";"3";"2";31;"0";"12001";"28070";"3";"28";"0.137566137566138";"0.316765425602127";;;"363482";"795613";"425900";"380400";"420032.075839566";"1370";"9.1"
932;"-0.125541125541126";"0.434309949443771";"1";"0";22;"0";"12001";"29001";"3";"19";"0.0292397660818713";"0.890267159791088";;;"363482";"795613";"525280";"401600";"426076.059376859";"1370";"108.3"
934;"0.0210526315789474";"0.923502331331665";"1";"2";20;"0";"12001";"29003";"3";"17";"0.308823529411765";"0.0913862488920325";;;"363482";"795613";"533700";"387900";"441956.839414759";"1370";"55.2"
936;"-0.0266666666666667";"0.871514405818662";"0";"1";25;"0";"12001";"30001";"2";"23";"0.0434782608695652";"0.794034211718078";;;"363482";"795613";"484200";"347960";"463805.935678463";"1370";"297.9"
937;"-0.123809523809524";"0.455043658006762";"0";"0";21;"0";"12001";"30003";"5";"16";"0.0333333333333333";"0.894351259969982";;;"363482";"795613";"524080";"360970";"463512.62320965";"1370";"197.1"
